Feature,Category,MVP_Priority,Included_in_MVP,Required_for_MVP,Notes
"STL/OBJ/3MF Import","MeshLoading","P0","Yes","Yes","Core input formats supported via /src/Format STL/OBJ/3MF"
"Mesh Repair (admesh)","MeshLoading/Repair","P0","Yes","Yes","Best-effort repair to produce workable meshes for slicing"
"Convex Hull / Bounding (Qhull)","Geometry/Bounding","P1","Yes","No","Used for bounding boxes; optional for CLI MVP if arrangement is assumed"
"Uniform Layer Slicing","Slicing","P0","Yes","Yes","Core per-layer slicing engine"
"Adaptive Layer Heights","Slicing","P2","Yes","Yes","Non-uniform layer heights based on curvature"
"Classic Perimeter Generator","Perimeters","P0","Yes","Yes","Base wall generation (offset-based)"
"Seam Placement (Standard)","Perimeters","P1","Yes","Yes","Seams placed to minimize visibility"
"Spiral Vase Mode","Perimeters","P1","Yes","Yes","Vase-mode single-wall print option"
"Rectilinear Infill / Grid","Infill","P0","Yes","Yes","Standard grid/rectilinear infill"
"Gyroid Infill","Infill","P1","Yes","Yes","Isotropic, efficient infill (included in MVP)"
"Concentric Infill","Infill","P1","Yes","Yes","Concentric fill pattern option"
"Adaptive Cubic Infill","Infill","P2","Yes","Yes","Octree-based adaptive cubic infill"
"Lightning Infill","Infill","P3","Yes","No","Ultra-lightweight infill (optional enhancement; MVP can omit if desired)"
"Honeycomb Infill","Infill","P3","Yes","No","Alternative infill pattern (optional)"
"TPMS D Infill","Infill","P3","Yes","No","TPMS pattern (optional)"
"TPMS FK Infill","Infill","P3","Yes","No","TPMS pattern (optional)"
"Traditional Supports","Supports","P0","Yes","Yes","Standard support structures"
"Tree Supports","Supports","P1","Yes","Yes","Organic/advanced supports (non-SLA)"
"Support Interface Layers","Supports","P1","Yes","Yes","Denser interface layers for supports"
"G-Code Export Orchestrator","GCode","P0","Yes","Yes","High-level G-code export orchestration"
"GCodeWriter (low-level emission)","GCode","P0","Yes","Yes","Core G-code text emission"
"Cooling Buffer / Post-Processing","GCode","P1","Yes","Yes","Per-layer cooling adjustments"
"ArcFitter (G-code arc optimization)","GCode","P2","Yes","Yes","Convert segments to G2/G3 where appropriate"
"PlaceholderParser (literal emission)","GCode (Start/End)","P3","Yes","Yes","MVP uses literal Start/End G-code; full macro expansion is deferred"
"Wipe Tower (MMU)","GCode","—","No","No","Excluded per MVP scope"
"Bed Arrangement / Libnest2d","Bed Layout","—","No","No","Not part of MVP"
"Mesh Repair (strict)","MeshLoading/Repair","—","No","No","Not part of MVP"
"STEP/OCCT Import","CAD Import","—","No","No","Excluded per MVP"
"Arachne Perimeter Generator","Perimeters","—","No","No","Excluded per MVP"
"MMU WipeTower","GCode","—","No","No","Excluded per MVP"
"","Supports","—","No","No","Excluded per MVP"
"GUI Components","GUI","—","No","No","CLI MVP; GUI-only"
